,shit,id,收盤價
0,0,1101,40.25
1,1,1102,40.55
2,2,1103,13.65
3,3,1104,20.20
4,4,1108,7.87
5,5,1109,15.50
6,6,1110,13.80
7,7,1201,22.45
8,8,1203,25.55
9,9,1210,37.40
10,10,1213,12.60
11,11,1215,51.50
12,12,1216,79.30
13,13,1217,7.60
14,14,1218,18.90
15,15,1219,18.65
16,16,1220,11.75
17,17,1225,86.30
18,18,1227,51.30
19,19,1229,35.50
20,20,1231,36.25
21,21,1232,100.50
22,22,1233,38.80
23,23,1234,30.90
24,24,1235,40.80
25,25,1236,16.00
26,26,1702,51.10
27,27,1737,31.00
28,28,1301,117.00
29,29,1303,85.00
30,30,1304,14.10
31,31,1305,25.65
32,32,1307,27.20
33,33,1308,16.50
34,34,1309,14.40
35,35,1310,24.20
36,36,1312,29.70
37,37,1313,15.50
38,38,1314,13.95
39,39,1315,26.55
40,40,1319,43.20
41,41,1321,27.50
42,42,1323,35.65
43,43,1324,12.50
44,44,1325,17.70
45,45,1326,127.50
46,46,1339,40.90
47,47,4306,15.45
48,48,1402,36.35
49,49,1409,12.50
50,50,1410,24.60
51,51,1413,13.05
52,52,1414,7.90
53,53,1416,15.55
54,54,1417,5.06
55,55,1418,7.98
56,56,1419,44.15
57,57,1423,10.30
58,58,1434,36.90
59,59,1439,30.40
60,60,1440,13.45
61,61,1441,12.95
62,62,1443,7.02
63,63,1444,11.15
64,64,1445,7.94
65,65,1446,27.80
66,66,1447,9.50
67,67,1449,4.89
68,68,1451,24.50
69,69,1452,19.30
70,70,1453,8.93
71,71,1454,8.00
72,72,1455,10.60
73,73,1456,8.38
74,74,1457,14.05
75,75,1459,10.05
76,76,1460,14.40
77,77,1463,15.65
78,78,1464,22.30
79,79,1465,14.85
80,80,1466,11.00
81,81,1467,10.80
82,82,1468,11.35
83,83,1470,--
84,84,1472,27.10
85,85,1473,20.00
86,86,1474,11.10
87,87,1475,10.90
88,88,1476,378.00
89,89,1477,154.50
90,90,4414,12.00
91,91,4426,48.70
92,92,4438,135.00
93,93,1503,47.00
94,94,1504,22.15
95,95,1506,23.00
96,96,1507,50.30
97,97,1512,9.80
98,98,1513,20.75
99,99,1514,15.10
100,100,1515,57.60
101,101,1517,10.35
102,102,1519,23.95
103,103,1521,69.20
104,104,1522,28.25
105,105,1524,10.20
106,106,1525,63.90
107,107,1526,25.90
108,108,1527,55.40
109,109,1528,12.20
110,110,1529,2.98
111,111,1530,33.20
112,112,1531,18.05
113,113,1532,30.85
114,114,1533,35.50
115,115,1535,36.00
116,116,1536,138.50
117,117,1537,142.00
118,118,1538,5.90
119,119,1539,29.05
120,120,1540,16.75
121,121,1541,30.80
122,122,1558,142.00
123,123,1560,66.30
124,124,1568,21.95
125,125,1583,58.30
126,126,1587,19.90
127,127,2049,256.50
128,128,2228,76.60
129,129,2231,231.50
130,130,2371,39.15
131,131,3167,45.85
132,132,3346,45.90
133,133,4526,20.05
134,134,4532,26.50
135,135,4540,89.40
136,136,4551,86.00
137,137,4555,64.50
138,138,4562,37.40
139,139,4566,49.15
140,140,6605,73.70
141,141,8222,17.05
142,142,8374,25.00
143,143,8996,48.60
144,144,1603,24.05
145,145,1604,13.60
146,146,1605,20.25
147,147,1608,9.75
148,148,1609,12.90
149,149,1611,9.74
150,150,1612,10.30
151,151,1614,23.50
152,152,1615,16.70
153,153,1616,5.12
154,154,1617,13.55
155,155,1618,8.91
156,156,4930,12.10
157,157,1316,18.30
158,158,1704,51.90
159,159,1708,27.15
160,160,1709,17.85
161,161,1710,34.10
162,162,1711,17.85
163,163,1712,17.20
164,164,1713,18.65
165,165,1714,7.95
166,166,1717,26.65
167,167,1718,11.10
168,168,1721,10.20
169,169,1722,46.10
170,170,1723,147.00
171,171,1724,13.65
172,172,1725,16.20
173,173,1726,79.00
174,174,1727,15.10
175,175,1730,50.90
176,176,1732,11.15
177,177,1735,15.90
178,178,1773,95.70
179,179,1776,19.70
180,180,3708,78.40
181,181,4720,13.40
182,182,4722,29.90
183,183,4725,32.70
184,184,4739,89.50
185,185,4755,47.10
186,186,4764,79.20
187,187,1598,29.55
188,188,1701,22.80
189,189,1707,213.00
190,190,1720,32.35
191,191,1731,13.60
192,192,1733,28.55
193,193,1734,20.55
194,194,1736,39.25
195,195,1760,91.50
196,196,1762,24.50
197,197,1783,28.80
198,198,1786,75.00
199,199,1789,30.30
200,200,3164,27.55
201,201,3705,40.85
202,202,4104,47.40
203,203,4106,25.90
204,204,4108,22.10
205,205,4119,84.40
206,206,4133,34.90
207,207,4142,19.75
208,208,4155,25.70
209,209,4164,36.60
210,210,4737,52.00
211,211,4746,49.00
212,212,1802,16.40
213,213,1806,7.81
214,214,1809,11.90
215,215,1810,8.80
216,216,1817,38.00
217,217,1902,18.10
218,218,1903,32.35
219,219,1904,25.30
220,220,1905,10.15
221,221,1906,19.90
222,222,1907,12.55
223,223,1909,21.35
224,224,2002,25.45
225,225,2006,23.50
226,226,2007,5.00
227,227,2008,12.45
228,228,2009,10.40
229,229,2010,11.05
230,230,2012,20.10
231,231,2013,35.40
232,232,2014,14.75
233,233,2015,60.70
234,234,2017,9.30
235,235,2020,14.60
236,236,2022,8.55
237,237,2023,10.40
238,238,2024,10.15
239,239,2025,
240,240,2027,54.80
241,241,2028,9.63
242,242,2029,21.20
243,243,2030,14.95
244,244,2031,46.60
245,245,2032,10.35
246,246,2033,12.85
247,247,2034,26.35
248,248,2038,10.70
249,249,2069,23.30
250,250,3004,55.40
251,251,5007,54.00
252,252,9958,99.00
253,253,2101,25.40
254,254,2102,13.15
255,255,2103,34.45
256,256,2104,39.50
257,257,2105,48.45
258,258,2106,30.65
259,259,2107,15.20
260,260,2108,29.70
261,261,2109,14.00
262,262,2114,94.30
263,263,6582,52.70
264,264,2201,21.20
265,265,2204,25.65
266,266,2206,20.60
267,267,2207,262.00
268,268,2227,240.00
269,269,2302,8.00
270,270,2303,15.95
271,271,2329,11.40
272,272,2330,265.00
273,273,2337,25.50
274,274,2338,26.55
275,275,2342,32.25
276,276,2344,14.70
277,277,2351,82.00
278,278,2363,10.00
279,279,2369,10.15
280,280,2379,134.00
281,281,2388,36.10
282,282,2401,13.15
283,283,2408,59.80
284,284,2434,11.05
285,285,2436,29.90
286,286,2441,50.30
287,287,2449,20.10
288,288,2451,70.20
289,289,2454,241.50
290,290,2458,50.10
291,291,2481,33.30
292,292,3006,33.25
293,293,3014,33.95
294,294,3016,50.00
295,295,3034,148.00
296,296,3035,55.20
297,297,3041,12.45
298,298,3054,26.00
299,299,3094,19.45
300,300,3189,53.30
301,301,3257,51.90
302,302,3413,137.50
303,303,3443,282.00
304,304,3519,11.50
305,305,3530,93.30
306,306,3532,152.00
307,307,3536,9.83
308,308,3545,24.95
309,309,3579,10.70
310,310,3583,65.40
311,311,3588,25.10
312,312,3686,4.00
313,313,3711,74.10
314,314,4919,44.60
315,315,4952,33.90
316,316,4968,45.40
317,317,5269,539.00
318,318,5285,76.10
319,319,5305,29.95
320,320,5471,30.00
321,321,6202,79.00
322,322,6239,84.20
323,323,6243,13.25
324,324,6257,33.80
325,325,6271,91.00
326,326,6531,56.40
327,327,6533,96.50
328,328,6552,81.00
329,329,8016,84.70
330,330,8028,32.80
331,331,8081,68.30
332,332,8110,12.45
333,333,8131,33.60
334,334,8150,23.50
335,335,8261,39.05
336,336,8271,33.25
337,337,2301,38.40
338,338,2305,7.78
339,339,2324,19.00
340,340,2331,15.40
341,341,2352,19.95
342,342,2353,24.80
343,343,2356,27.10
344,344,2357,262.50
345,345,2362,29.50
346,346,2364,3.70
347,347,2365,10.30
348,348,2376,48.00
349,349,2377,82.50
350,350,2380,5.33
351,351,2382,53.00
352,352,2387,16.20
353,353,2395,234.50
354,354,2397,71.90
355,355,2399,12.55
356,356,2405,13.90
357,357,2417,11.15
358,358,2424,32.00
359,359,2425,41.80
360,360,2442,14.40
361,361,2465,12.40
362,362,3002,10.55
363,363,3005,40.05
364,364,3013,16.40
365,365,3017,26.75
366,366,3022,38.10
367,367,3046,21.30
368,368,3057,9.60
369,369,3060,16.45
370,370,3231,19.95
371,371,3416,55.40
372,372,3494,6.95
373,373,3515,55.40
374,374,3701,6.92
375,375,3706,28.45
376,376,4916,33.25
377,377,4938,60.90
378,378,5258,19.25
379,379,6117,13.20
380,380,6128,32.25
381,381,6166,49.70
382,382,6172,12.90
383,383,6206,75.60
384,384,6230,83.20
385,385,6235,17.75
386,386,6277,82.40
387,387,6414,280.50
388,388,6579,84.50
389,389,8114,110.50
390,390,8163,44.55
391,391,8210,39.00
392,392,9912,9.35
393,393,2323,6.81
394,394,2340,22.65
395,395,2349,13.55
396,396,2374,14.00
397,397,2393,31.30
398,398,2406,10.05
399,399,2409,13.00
400,400,2426,18.80
401,401,2438,7.58
402,402,2448,34.10
403,403,2466,32.50
404,404,2475,1.88
405,405,2486,10.70
406,406,2489,13.20
407,407,2491,6.80
408,408,2499,10.30
409,409,3008,"3,780.00"
410,410,3019,71.70
411,411,3024,6.95
412,412,3031,11.40
413,413,3038,9.53
414,414,3049,7.48
415,415,3050,9.49
416,416,3051,3.48
417,417,3059,27.45
418,418,3149,11.25
419,419,3356,27.35
420,420,3383,2.48
421,421,3406,319.00
422,422,3437,20.65
423,423,3454,93.40
424,424,3481,10.70
425,425,3504,87.70
426,426,3514,
427,427,3535,13.40
428,428,3557,17.50
429,429,3561,
430,430,3576,10.25
431,431,3591,14.45
432,432,3622,17.20
433,433,3669,19.30
434,434,3698,20.05
435,435,4934,7.13
436,436,4942,31.90
437,437,4956,18.75
438,438,4960,9.71
439,439,4976,39.10
440,440,5234,79.60
441,441,5259,8.90
442,442,5484,5.85
443,443,6116,7.52
444,444,6120,21.60
445,445,6131,
446,446,6164,9.45
447,447,6168,14.55
448,448,6176,68.50
449,449,6209,29.30
450,450,6225,--
451,451,6226,8.88
452,452,6278,39.55
453,453,6288,17.65
454,454,6289,1.51
455,455,6405,15.85
456,456,6443,7.95
457,457,6477,23.80
458,458,8105,11.95
459,459,8215,17.55
460,460,2314,20.80
461,461,2321,2.62
462,462,2332,11.65
463,463,2345,82.30
464,464,2412,110.00
465,465,2419,21.65
466,466,2439,139.50
467,467,2444,15.65
468,468,2450,40.95
469,469,2455,76.50
470,470,2485,19.90
471,471,2496,91.60
472,472,2498,42.20
473,473,3025,30.05
474,474,3027,9.22
475,475,3045,109.50
476,476,3047,9.75
477,477,3062,15.30
478,478,3311,15.20
479,479,3380,16.25
480,480,3419,17.40
481,481,3596,54.20
482,482,3682,6.96
483,483,3694,21.15
484,484,3704,11.25
485,485,4904,73.40
486,486,4906,22.90
487,487,5388,50.00
488,488,6136,18.35
489,489,6142,8.71
490,490,6152,6.00
491,491,6216,28.20
492,492,6285,74.90
493,493,6416,94.30
494,494,6442,37.90
495,495,8011,18.10
496,496,8101,4.50
497,497,1471,6.12
498,498,1582,58.10
499,499,2059,386.00
500,500,2308,125.50
501,501,2313,24.65
502,502,2316,16.90
503,503,2327,466.00
504,504,2328,21.90
505,505,2355,38.10
506,506,2367,16.55
507,507,2368,12.30
508,508,2375,46.85
509,509,2383,83.00
510,510,2385,61.10
511,511,2392,25.95
512,512,2402,16.25
513,513,2413,22.90
514,514,2415,24.95
515,515,2420,32.25
516,516,2421,44.20
517,517,2428,83.70
518,518,2429,11.50
519,519,2431,10.50
520,520,2440,8.88
521,521,2456,96.00
522,522,2457,10.35
523,523,2460,11.05
524,524,2462,29.45
525,525,2467,25.70
526,526,2472,47.90
527,527,2476,24.50
528,528,2478,67.20
529,529,2483,20.05
530,530,2484,19.00
531,531,2492,212.00
532,532,2493,25.65
533,533,3003,45.65
534,534,3011,8.15
535,535,3015,21.85
536,536,3021,14.90
537,537,3023,85.50
538,538,3026,132.50
539,539,3032,28.30
540,540,3037,19.55
541,541,3042,34.35
542,542,3044,84.40
543,543,3058,8.09
544,544,3090,60.00
545,545,3229,19.00
546,546,3296,14.70
547,547,3308,7.60
548,548,3321,15.50
549,549,3338,22.70
550,550,3376,84.50
551,551,3432,15.20
552,552,3501,50.40
553,553,3533,199.00
554,554,3550,17.95
555,555,3593,6.40
556,556,3605,21.05
557,557,3607,21.65
558,558,3645,57.90
559,559,3653,81.30
560,560,3679,76.60
561,561,4545,31.40
562,562,4915,48.70
563,563,4989,25.05
564,564,4999,49.00
565,565,5469,26.15
566,566,6108,27.60
567,567,6115,42.50
568,568,6133,9.03
569,569,6141,16.50
570,570,6153,38.50
571,571,6155,29.15
572,572,6165,9.60
573,573,6191,13.50
574,574,6197,24.30
575,575,6205,24.00
576,576,6213,58.90
577,577,6224,57.90
578,578,6251,9.05
579,579,6269,89.50
580,580,6282,20.50
581,581,6412,42.00
582,582,6449,38.05
583,583,8039,34.50
584,584,8046,29.40
585,585,8103,26.10
586,586,8213,28.15
587,587,8249,21.40
588,588,2347,39.20
589,589,2414,19.60
590,590,2430,22.20
591,591,2459,37.20
592,592,3010,54.40
593,593,3028,22.50
594,594,3033,20.75
595,595,3036,42.80
596,596,3048,15.10
597,597,3055,28.00
598,598,3209,18.35
599,599,3312,12.35
600,600,3528,33.50
601,601,3702,
602,602,5434,70.50
603,603,6145,
604,604,6189,28.50
605,605,6281,64.70
606,606,8070,137.50
607,607,8072,22.45
608,608,8112,29.95
609,609,2427,10.25
610,610,2453,12.30
611,611,2468,11.05
612,612,2471,15.00
613,613,2480,38.10
614,614,3029,19.90
615,615,3130,169.00
616,616,4994,50.90
617,617,5203,71.70
618,618,6112,30.95
619,619,6183,34.15
620,620,6214,64.20
621,621,2312,10.90
622,622,2317,78.70
623,623,2354,74.50
624,624,2359,21.40
625,625,2360,151.00
626,626,2373,94.70
627,627,2390,13.30
628,628,2404,59.00
629,629,2423,23.65
630,630,2433,42.50
631,631,2461,14.30
632,632,2464,42.70
633,633,2474,338.00
634,634,2477,17.95
635,635,2482,12.50
636,636,2488,35.05
637,637,2495,11.80
638,638,2497,18.30
639,639,3018,32.20
640,640,3030,48.80
641,641,3043,2.50
642,642,3305,21.90
643,643,3450,67.10
644,644,3518,22.15
645,645,3617,87.50
646,646,6139,31.20
647,647,6192,70.10
648,648,6196,57.70
649,649,6201,30.15
650,650,6215,17.70
651,651,6283,43.95
652,652,6409,547.00
653,653,8021,19.00
654,654,8201,14.70
655,655,2616,29.95
656,656,6505,148.00
657,657,8926,27.00
658,658,9908,28.80
659,659,9918,33.50
660,660,9926,40.05
661,661,9931,32.20
662,662,9937,--
663,663,1436,37.55
664,664,1438,7.65
665,665,1442,16.85
666,666,1805,11.15
667,667,1808,60.60
668,668,2501,18.35
669,669,2504,9.37
670,670,2505,11.90
671,671,2506,11.80
672,672,2509,31.55
673,673,2511,11.00
674,674,2515,8.50
675,675,2516,6.45
676,676,2520,21.65
677,677,2524,20.20
678,678,2527,31.60
679,679,2528,13.45
680,680,2530,15.90
681,681,2534,30.40
682,682,2535,21.35
683,683,2536,20.95
684,684,2537,7.42
685,685,2538,14.50
686,686,2539,28.00
687,687,2540,27.35
688,688,2542,48.00
689,689,2543,7.88
690,690,2545,27.00
691,691,2546,25.30
692,692,2547,17.90
693,693,2548,66.90
694,694,2597,37.50
695,695,2841,9.06
696,696,3052,9.03
697,697,3056,18.35
698,698,3266,11.40
699,699,3703,14.05
700,700,5515,11.70
701,701,5519,11.35
702,702,5521,8.96
703,703,5522,31.30
704,704,5525,22.30
705,705,5531,12.15
706,706,5533,15.90
707,707,5534,77.00
708,708,6177,28.35
709,709,9906,12.50
710,710,9946,13.40
711,711,2208,42.70
712,712,2603,13.05
713,713,2605,15.65
714,714,2606,34.95
715,715,2607,13.55
716,716,2608,40.10
717,717,2609,8.82
718,718,2610,9.27
719,719,2611,7.46
720,720,2612,35.00
721,721,2613,12.35
722,722,2615,16.75
723,723,2617,19.95
724,724,2618,14.80
725,725,2630,24.60
726,726,2633,29.00
727,727,2634,30.80
728,728,2636,25.45
729,729,2642,24.60
730,730,5607,17.50
731,731,5608,7.93
732,732,2701,12.55
733,733,2702,16.90
734,734,2704,22.45
735,735,2705,6.28
736,736,2706,14.40
737,737,2707,135.50
738,738,2712,32.00
739,739,2722,--
740,740,2727,82.00
741,741,2731,89.50
742,742,2739,29.30
743,743,2748,63.70
744,744,5706,33.95
745,745,8940,13.50
746,746,9943,58.10
747,747,2801,18.85
748,748,2809,30.80
749,749,2812,10.70
750,750,2816,21.50
751,751,2820,14.10
752,752,2823,30.50
753,753,2832,20.75
754,754,2834,11.05
755,755,2836,9.49
756,756,2838,10.35
757,757,2845,10.80
758,758,2849,15.20
759,759,2850,39.90
760,760,2851,18.20
761,761,2852,15.65
762,762,2855,14.40
763,763,2856,
764,764,2867,15.90
765,765,2880,18.50
766,766,2881,51.90
767,767,2882,52.80
768,768,2883,11.45
769,769,2884,22.50
770,770,2885,16.30
771,771,2886,27.30
772,772,2887,14.75
773,773,2888,11.90
774,774,2889,10.75
775,775,2890,11.25
776,776,2891,23.00
777,777,2892,20.95
778,778,2897,8.26
779,779,5880,18.60
780,780,6005,10.35
781,781,6024,50.80
782,782,1432,8.90
783,783,2601,10.90
784,784,2614,14.45
785,785,2901,24.45
786,786,2903,16.95
787,787,2905,24.10
788,788,2906,10.45
789,789,2908,23.30
790,790,2910,30.30
791,791,2911,10.80
792,792,2912,360.00
793,793,2913,15.80
794,794,2915,60.00
795,795,8443,13.75
796,796,8454,176.50
797,797,1435,5.53
798,798,1437,19.15
799,799,1516,18.50
800,800,2062,36.00
801,801,2348,48.70
802,802,2358,19.05
803,803,2443,6.01
804,804,2514,15.70
805,805,2904,19.90
806,806,3040,38.05
807,807,4536,90.80
808,808,6184,36.40
809,809,6464,--
810,810,6504,158.00
811,811,6581,110.50
812,812,6625,53.30
813,813,8033,11.20
814,814,8341,228.00
815,815,8422,173.00
816,816,8463,32.30
817,817,8464,242.50
818,818,8473,62.90
819,819,8478,42.05
820,820,8481,50.80
821,821,8497,44.65
822,822,9902,9.57
823,823,9904,32.50
824,824,9905,25.75
825,825,9907,14.15
826,826,9910,190.00
827,827,9911,38.15
828,828,9914,146.00
829,829,9917,88.20
830,830,9919,11.45
831,831,9921,133.00
832,832,9924,35.00
833,833,9925,35.50
834,834,9927,35.10
835,835,9928,--
836,836,9929,13.45
837,837,9930,56.40
838,838,9933,49.15
839,839,9934,16.30
840,840,9935,16.85
841,841,9938,61.40
842,842,9939,51.10
843,843,9940,34.10
844,844,9941,104.00
845,845,9942,78.50
846,846,9944,16.10
847,847,9945,
848,848,9955,13.95
